States,Years,Quarter,District,RegisteredUsers,AppOpens,lat,lon
andaman-&-nicobar-islands,2018,1,north and middle andaman district,632,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,1,south andaman district,5846,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,1,nicobars district,262,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,2,north and middle andaman district,911,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,2,south andaman district,8143,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,2,nicobars district,351,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,3,south andaman district,10474,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,3,nicobars district,467,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,4,south andaman district,13133,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2018,4,nicobars district,536,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,1,south andaman district,15961,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,1,nicobars district,622,0,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417,6118,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,2,south andaman district,18621,43569,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,2,nicobars district,693,2953,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662,22064,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,3,south andaman district,20518,138190,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,3,nicobars district,751,10853,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955,26253,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,4,south andaman district,22202,139646,7.0000167,93.8110528
andaman-&-nicobar-islands,2019,4,nicobars district,803,11113,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315,30444,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,1,south andaman district,24174,151529,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,1,nicobars district,879,11613,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100,56992,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,2,south andaman district,27626,231071,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,2,nicobars district,984,17009,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355,76553,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,3,south andaman district,34833,417785,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,3,nicobars district,1147,21227,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076,125915,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,4,south andaman district,43908,725321,7.0000167,93.8110528
andaman-&-nicobar-islands,2020,4,nicobars district,1412,35972,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833,121680,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,1,south andaman district,48352,837589,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,1,nicobars district,1573,45067,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493,596182,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,2,south andaman district,51903,1270226,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,2,nicobars district,1699,381815,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263,759314,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,3,south andaman district,55873,1771107,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,3,nicobars district,1846,591204,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002,171921,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,4,south andaman district,59807,1863037,7.0000167,93.8110528
andaman-&-nicobar-islands,2021,4,nicobars district,1971,77952,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720,904869,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,1,south andaman district,63487,2368756,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,1,nicobars district,2081,573782,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,2,north and middle andaman district,11379,963824,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,2,south andaman district,66959,3404740,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,2,nicobars district,2192,811449,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897,1176567,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,3,south andaman district,70445,3607286,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,3,nicobars district,2300,1284501,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,4,north and middle andaman district,12361,313502,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,4,south andaman district,73692,3881359,7.0000167,93.8110528
andaman-&-nicobar-islands,2022,4,nicobars district,2389,159232,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,1,north and middle andaman district,12941,3103047,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,1,south andaman district,77052,5450795,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,1,nicobars district,2491,2458822,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,2,north and middle andaman district,13600,3174229,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,2,south andaman district,80112,6884657,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,2,nicobars district,2617,4679790,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,3,north and middle andaman district,14216,7130284,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,3,south andaman district,83305,5950899,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,3,nicobars district,2734,7463896,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,4,north and middle andaman district,14813,1869462,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,4,south andaman district,86348,7452861,7.0000167,93.8110528
andaman-&-nicobar-islands,2023,4,nicobars district,2817,523637,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,1,north and middle andaman district,15539,9022450,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,1,south andaman district,89907,12147903,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,1,nicobars district,2965,7368398,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,2,north and middle andaman district,16183,6159746,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,2,south andaman district,93421,6749599,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,2,nicobars district,3083,3967538,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,3,north and middle andaman district,21728,9789799,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,3,south andaman district,143250,6545536,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,3,nicobar district,7495,3219511,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,4,north and middle andaman district,22547,2194985,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,4,south andaman district,148543,15101583,7.0000167,93.8110528
andaman-&-nicobar-islands,2024,4,nicobar district,7698,1395115,7.0000167,93.8110528
andhra-pradesh,2018,1,east godavari district,350356,0,15.9240905,80.1863809
andhra-pradesh,2018,1,srikakulam district,143839,0,15.9240905,80.1863809
andhra-pradesh,2018,1,visakhapatnam district,497187,0,15.9240905,80.1863809
andhra-pradesh,2018,1,prakasam district,189949,0,15.9240905,80.1863809
andhra-pradesh,2018,1,anantapur district,241192,0,15.9240905,80.1863809
andhra-pradesh,2018,1,kurnool district,240133,0,15.9240905,80.1863809
andhra-pradesh,2018,1,guntur district,317065,0,15.9240905,80.1863809
andhra-pradesh,2018,1,krishna district,323673,0,15.9240905,80.1863809
andhra-pradesh,2018,1,spsr nellore district,194475,0,15.9240905,80.1863809
andhra-pradesh,2018,1,vizianagaram district,128905,0,15.9240905,80.1863809
andhra-pradesh,2018,1,ysr district,186800,0,15.9240905,80.1863809
andhra-pradesh,2018,1,west godavari district,213335,0,15.9240905,80.1863809
andhra-pradesh,2018,1,chittoor district,309541,0,15.9240905,80.1863809
andhra-pradesh,2018,2,east godavari district,454398,0,15.9240905,80.1863809
andhra-pradesh,2018,2,srikakulam district,186913,0,15.9240905,80.1863809
andhra-pradesh,2018,2,visakhapatnam district,636052,0,15.9240905,80.1863809
andhra-pradesh,2018,2,prakasam district,253458,0,15.9240905,80.1863809
andhra-pradesh,2018,2,anantapur district,326383,0,15.9240905,80.1863809
andhra-pradesh,2018,2,kurnool district,319313,0,15.9240905,80.1863809
andhra-pradesh,2018,2,guntur district,420326,0,15.9240905,80.1863809
andhra-pradesh,2018,2,krishna district,431965,0,15.9240905,80.1863809
andhra-pradesh,2018,2,spsr nellore district,261049,0,15.9240905,80.1863809
andhra-pradesh,2018,2,vizianagaram district,167327,0,15.9240905,80.1863809
andhra-pradesh,2018,2,ysr district,248657,0,15.9240905,80.1863809
andhra-pradesh,2018,2,west godavari district,282393,0,15.9240905,80.1863809
andhra-pradesh,2018,2,chittoor district,414306,0,15.9240905,80.1863809
andhra-pradesh,2018,3,east godavari district,558982,0,15.9240905,80.1863809
andhra-pradesh,2018,3,srikakulam district,228456,0,15.9240905,80.1863809
andhra-pradesh,2018,3,visakhapatnam district,769096,0,15.9240905,80.1863809
andhra-pradesh,2018,3,prakasam district,314899,0,15.9240905,80.1863809
andhra-pradesh,2018,3,anantapur district,405855,0,15.9240905,80.1863809
andhra-pradesh,2018,3,kurnool district,394311,0,15.9240905,80.1863809
andhra-pradesh,2018,3,guntur district,518931,0,15.9240905,80.1863809
andhra-pradesh,2018,3,krishna district,537086,0,15.9240905,80.1863809
andhra-pradesh,2018,3,spsr nellore district,322446,0,15.9240905,80.1863809
andhra-pradesh,2018,3,vizianagaram district,203655,0,15.9240905,80.1863809
andhra-pradesh,2018,3,ysr district,308391,0,15.9240905,80.1863809
andhra-pradesh,2018,3,west godavari district,349782,0,15.9240905,80.1863809
andhra-pradesh,2018,3,chittoor district,515727,0,15.9240905,80.1863809
andhra-pradesh,2018,4,east godavari district,694455,0,15.9240905,80.1863809
andhra-pradesh,2018,4,srikakulam district,284874,0,15.9240905,80.1863809
andhra-pradesh,2018,4,visakhapatnam district,978288,0,15.9240905,80.1863809
andhra-pradesh,2018,4,prakasam district,394962,0,15.9240905,80.1863809
andhra-pradesh,2018,4,anantapur district,510892,0,15.9240905,80.1863809
andhra-pradesh,2018,4,kurnool district,498582,0,15.9240905,80.1863809
andhra-pradesh,2018,4,guntur district,659552,0,15.9240905,80.1863809
andhra-pradesh,2018,4,krishna district,682479,0,15.9240905,80.1863809
andhra-pradesh,2018,4,spsr nellore district,407495,0,15.9240905,80.1863809
andhra-pradesh,2018,4,vizianagaram district,257824,0,15.9240905,80.1863809
andhra-pradesh,2018,4,ysr district,387058,0,15.9240905,80.1863809
andhra-pradesh,2018,4,west godavari district,435668,0,15.9240905,80.1863809
andhra-pradesh,2018,4,chittoor district,665280,0,15.9240905,80.1863809
andhra-pradesh,2019,1,east godavari district,839277,0,15.9240905,80.1863809
andhra-pradesh,2019,1,srikakulam district,345775,0,15.9240905,80.1863809
andhra-pradesh,2019,1,visakhapatnam district,1174517,0,15.9240905,80.1863809
andhra-pradesh,2019,1,prakasam district,474260,0,15.9240905,80.1863809
andhra-pradesh,2019,1,anantapur district,612162,0,15.9240905,80.1863809
andhra-pradesh,2019,1,kurnool district,599422,0,15.9240905,80.1863809
andhra-pradesh,2019,1,guntur district,802394,0,15.9240905,80.1863809
andhra-pradesh,2019,1,krishna district,833694,0,15.9240905,80.1863809
andhra-pradesh,2019,1,spsr nellore district,491908,0,15.9240905,80.1863809
andhra-pradesh,2019,1,vizianagaram district,313334,0,15.9240905,80.1863809
andhra-pradesh,2019,1,ysr district,460590,0,15.9240905,80.1863809
andhra-pradesh,2019,1,west godavari district,523372,0,15.9240905,80.1863809
andhra-pradesh,2019,1,chittoor district,812314,0,15.9240905,80.1863809
andhra-pradesh,2019,2,east godavari district,945181,7156762,15.9240905,80.1863809
andhra-pradesh,2019,2,srikakulam district,392764,3230330,15.9240905,80.1863809
andhra-pradesh,2019,2,visakhapatnam district,1318740,13681907,15.9240905,80.1863809
andhra-pradesh,2019,2,prakasam district,539462,4488365,15.9240905,80.1863809
andhra-pradesh,2019,2,anantapur district,695114,6056591,15.9240905,80.1863809
andhra-pradesh,2019,2,kurnool district,680118,6240480,15.9240905,80.1863809
andhra-pradesh,2019,2,guntur district,915256,7268875,15.9240905,80.1863809
andhra-pradesh,2019,2,krishna district,952300,7822632,15.9240905,80.1863809
andhra-pradesh,2019,2,spsr nellore district,558303,4774473,15.9240905,80.1863809
andhra-pradesh,2019,2,vizianagaram district,355058,3541678,15.9240905,80.1863809
andhra-pradesh,2019,2,ysr district,519031,4345848,15.9240905,80.1863809
andhra-pradesh,2019,2,west godavari district,592185,3853094,15.9240905,80.1863809
andhra-pradesh,2019,2,chittoor district,925491,8914216,15.9240905,80.1863809
andhra-pradesh,2019,3,east godavari district,1057167,28275322,15.9240905,80.1863809
andhra-pradesh,2019,3,srikakulam district,437939,11813195,15.9240905,80.1863809
andhra-pradesh,2019,3,visakhapatnam district,1460464,54836001,15.9240905,80.1863809
andhra-pradesh,2019,3,prakasam district,598568,16267041,15.9240905,80.1863809
andhra-pradesh,2019,3,anantapur district,773656,22845084,15.9240905,80.1863809
andhra-pradesh,2019,3,kurnool district,755024,22827473,15.9240905,80.1863809
andhra-pradesh,2019,3,guntur district,1026418,28477132,15.9240905,80.1863809
andhra-pradesh,2019,3,krishna district,1066546,30077671,15.9240905,80.1863809
andhra-pradesh,2019,3,spsr nellore district,619592,17768733,15.9240905,80.1863809
andhra-pradesh,2019,3,vizianagaram district,394375,13065845,15.9240905,80.1863809
andhra-pradesh,2019,3,ysr district,574109,15833900,15.9240905,80.1863809
andhra-pradesh,2019,3,west godavari district,662102,14227407,15.9240905,80.1863809
andhra-pradesh,2019,3,chittoor district,1032733,34638738,15.9240905,80.1863809
andhra-pradesh,2019,4,east godavari district,1195228,38299189,15.9240905,80.1863809
andhra-pradesh,2019,4,srikakulam district,496266,16353822,15.9240905,80.1863809
andhra-pradesh,2019,4,visakhapatnam district,1620235,70749983,15.9240905,80.1863809
andhra-pradesh,2019,4,prakasam district,673522,21639748,15.9240905,80.1863809
andhra-pradesh,2019,4,anantapur district,873033,30278539,15.9240905,80.1863809
andhra-pradesh,2019,4,kurnool district,846885,29676997,15.9240905,80.1863809
andhra-pradesh,2019,4,guntur district,1158708,37846179,15.9240905,80.1863809
andhra-pradesh,2019,4,krishna district,1199971,39407473,15.9240905,80.1863809
andhra-pradesh,2019,4,spsr nellore district,697154,23608360,15.9240905,80.1863809
andhra-pradesh,2019,4,vizianagaram district,443810,17515311,15.9240905,80.1863809
andhra-pradesh,2019,4,ysr district,646642,21543798,15.9240905,80.1863809
andhra-pradesh,2019,4,west godavari district,750078,19393528,15.9240905,80.1863809
andhra-pradesh,2019,4,chittoor district,1156351,44888591,15.9240905,80.1863809
